GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.03G026700.1,AT4G29130,0,763,ARABIDOPSIS THALIANA HEXOKINASE 1; ATHXK1; GIN2; GLUCOSE INSENSITIVE 2; HEXOKINASE 1; HXK1,"Encodes a hexokinase (HXK1) in the plant glucose-signaling network.  Functions as a glucose sensor to interrelate nutrient, light, and hormone signaling networks for controlling growth and development in response to the changing environment.","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","",X,"","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G029700.6,AT4G29170,2.38e-122,346,ATMND1,"A homolog of yeast, mouse and human mnd1delta protein. Null mutants exhibit normal vegetative and flower development; however, during prophase I, chromosomes become fragmented resulting in random distribution of the fragments between polyads. Both male and female meiosis are defective and strong accumulation of AtRAD51 was observed in the inflorescence nuclei of mutant plants. Similarly to its yeast and animal homologues, AtMnd1 might play a role in DSB repair during meiosis.",X,X,"",X,X,"","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G030866.1,AT2G19490,6.96e-136,391,A. THALIANA RECA HOMOLOG 2; RECA2,recA DNA recombination family protein;(source:Araport11),X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G033600.4,AT3G60310,8.06e-139,421,FANCC; FANCONI ANEMIA COMPLEX PROTEIN C,Component of Fanconi anemia (FA) complex.,X,X,"",X,X,"","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G036300.4,AT4G26090,0,894,RESISTANT TO P. SYRINGAE 2; RPS2,"Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.","","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.03G038950.2,AT3G56070,7.12e-38,124,ROC2; ROTAMASE CYCLOPHILIN 2,rotamase cyclophilin 2 (ROC2) exhibiting peptidyl-prolyl cis-trans isomerase activity involved in signal transduction.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G044500.1,AT3G43210,0,1347,ARABIDOPSIS NPK1-ACTIVATING KINESIN 2; ATNACK2; NACK2; NPK1-ACTIVATING KINESIN 2; TES; TETRASPORE,"Encodes a kinesin TETRASPORE. Required for cytokinesis in pollen. In mutants, all four microspore nuclei remain within the same cytoplasm after meiosis.","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.03G056300.1,AT2G45700,0,773,"",sterile alpha motif (SAM) domain-containing protein;(source:Araport11),X,X,X,"","","","",X,"",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",X,X,X,X,"",X,X,"",""
Manes.03G057750.1,AT3G63520,4.53e-59,206,ATCCD1; ATNCED1; CAROTENOID CLEAVAGE DIOXYGENASE 1; CCD1; NCED1,"Encodes a protein with 9-<i>cis</i>-epoxycarotenoid dioxygenase activity. The enzyme was shown to act on a variety of carotenoid including &#946;-carotene, lutein, zeaxanthin, and all-<i>trans</i>-violaxanthin.  When those compounds are used as substrates, the major reaction product detected is a C14 dialdehyde: 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial.  The enzyme did not cleave as efficiently carotenoids containing 9-<i>cis</i>-double or allenic bonds. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G058000.1,AT3G63520,1.15e-50,177,ATCCD1; ATNCED1; CAROTENOID CLEAVAGE DIOXYGENASE 1; CCD1; NCED1,"Encodes a protein with 9-<i>cis</i>-epoxycarotenoid dioxygenase activity. The enzyme was shown to act on a variety of carotenoid including &#946;-carotene, lutein, zeaxanthin, and all-<i>trans</i>-violaxanthin.  When those compounds are used as substrates, the major reaction product detected is a C14 dialdehyde: 4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial.  The enzyme did not cleave as efficiently carotenoids containing 9-<i>cis</i>-double or allenic bonds. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G060600.1,AT5G25930,0,1161,HAESA-LIKE 3; HSL3; NUT; PLANT SCREW UNRESPONSIVE RECEPTOR,LRR transmembrane receptor kinase. Binds SCREW phyotocytokine signaling peptides during plant immune response.,"","",X,"","","","","","","","","",X,X,X,X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.03G060801.1,AT4G27190,2.16e-70,257,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.03G063225.7,AT4G27190,5.33e-69,253,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.03G070940.1,AT3G47630,9.72e-173,483,CDP-DAG SYNTHASE 6; CDS6,Mitochondrial CDP-DAG synthase with a single transmembrane domain.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.03G074900.1,AT5G44740,0,822,POLH; Y-FAMILY DNA POLYMERASE H,Y-family DNA polymerase. Catalyses translesion synthesis in response to UV damage. Functionally interacts with PCNA2. Has a ubiquitin binding motif.,X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G077400.3,AT3G14470,1.91e-114,376,LEUCINE RICH REPEAT PROTEIN 1; LRR4,NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,X,X,X,"","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","",X,X,"","","",X,"",X,X,X,X,"",X,X,"",""
Manes.03G080100.1,AT3G01540,0,676,ARABIDOPSIS THALIANA DEAD BOX RNA HELICASE 1; ATDRH1; DEAD BOX RNA HELICASE 1; DRH1; IRP6; NVOLVED IN RRNA PROCESSING 6; RH14; RNA HELICASE 14,RNA HELICASE DRH1,"","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.03G080151.1,AT1G16310,0,589,METAL-TOLERANCE PROTEIN  10; MTP10,Cation efflux family protein which affects ABA-JA crosstalk and susceptibility to Mamestra brassicae herbivory.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.03G082162.1,AT3G21180,0,1687,ACA9; ATACA9; AUTOINHIBITED CA(2+)-ATPASE 9,one of the type IIB calcium pump isoforms. encodes an autoinhibited Ca(2+)-ATPase that contains an N-terminal calmodulin binding autoinhibitory domain.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.03G082300.2,AT3G18630,2.31e-156,439,ATUNG; UNG; URACIL DNA GLYCOSYLASE,Encodes a uracil-DNA glycosylase (UDG) involved in a base excision DNA repair pathway in mitochondria.,X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G082500.2,AT5G64520,3.88e-104,309,ATXRCC2; HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 2; XRCC2,Encodes a protein of the XRCC2 family involved in DNA repair. atxrcc2-1 Mutants are sensitive to MitomycinC but do not show fertility defects.,X,X,"",X,X,"","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G087700.1,AT3G13620,0,568,POLYAMINE UPTAKE TRANSPORTER 4; PUT4,"Encodes POLYAMINE UPTAKE TRANSPORTER 4, an amino acid permease family protein.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G090332.1,AT1G55850,0,796,ATCSLE1; CELLULOSE SYNTHASE LIKE E1; CSLE1,encodes a protein similar to cellulose synthase The mRNA is cell-to-cell mobile.,"","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.03G092000.1,AT3G14840,0,1226,LIK1; LYSM RLK1-INTERACTING KINASE 1,"Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.","","",X,"","","","","","","","","",X,"","",X,X,"","","","","",X,"","",X,X,"","","","","","",X,X,X,"","","",X,"","","",X,X,X,X,X,X,X,X,"",X,X,X,"",X,X,"",""
Manes.03G096000.7,AT3G59550,6.3e-143,436,ATRAD21.2; ATSYN3; SISTER CHROMATID COHESION 1 PROTEIN 3; SYN3,Encodes an alpha-kleisin protein that is localized primarily in the nucleolus and is essential for megagametogenesis and plays an important role in pollen development.  alpha-kleisins are core components of meiotic and mitotic cohesin complexes.,X,X,"",X,X,"","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G098716.1,AT4G23160,3.11e-28,111,CRK8; CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 8,Encodes a cysteine-rich receptor-like protein kinase.,"","",X,"","",X,"","","",X,"","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.03G110400.2,AT3G15352,1.17e-30,102,ARABIDOPSIS THALIANA CYTOCHROME C OXIDASE 17; ATCOX17; COX17; CYTOCHROME C OXIDASE 17,"Encodes protein similar to yeast COX17, a copper-binding protein that mediates the delivery of Cu to the mitochondria for the assembly of a functional cytochrome oxidase complex.","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,"","",""
Manes.03G114832.1,AT4G27220,2.8e-101,337,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.03G117600.2,AT1G11390,0,653,ABC1K10A; ACTIVITY OF BC1 COMPLEX KINASE 10A,Atypical kinase which functions in  plant salt stress tolerance by regulating reactive oxygen species (ROS).,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.03G120848.1,AT5G23960,3.92e-30,116,ATTPS21; TERPENE SYNTHASE 21; TPS21TERPENE SYNTHASE 21; TPS21,Encodes a sesquiterpene synthase involved in generating all of the group A sesquiterpenes found in the Arabidopsis floral volatile blend.  Strongly expressed in the stigma.,"","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,"","",""
Manes.03G124100.3,AT4G27220,2.46e-81,286,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.03G125900.2,AT4G08850,8.23e-150,457,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.03G126200.1,AT4G08850,0,806,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.03G126400.2,AT4G08850,0,642,MDIS1-INTERACTING RECEPTOR LIKE KINASE2; MIK2,"MIK1 encodes a receptor kinase that forms a complex with MDIS1/MIK2 and binds LURE1, the female pollen guidance chemi-attractant. MIK1 phosphorylates MDIS1 and is autophosphorylated.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","",X,"","","","","",X,X,X,X,X,X,"",X,X,"",""
Manes.03G128400.3,AT4G27220,4.12e-64,236,"",NB-ARC domain-containing disease resistance protein;(source:Araport11),"","",X,"","",X,"","","",X,"","",X,"",X,X,X,X,X,X,X,"",X,"","",X,X,"","","","","","","","","",X,X,"","","","","","","","","","","","","",X,X,X,X,"",X,X,"",X
Manes.03G129600.1,AT5G54940,7.89e-60,180,"",Translation initiation factor SUI1 family protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.03G129800.1,AT2G05710,0,1675,ACO3; ACONITASE 3,"Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","",X,"",""
Manes.03G130300.1,AT2G18620,1.06e-36,134,GERANYLGERANYL PYROPHOSPHATE SYNTHASE 2; GGPPS2; IDS2; ISOPRENYL DIPHOSPHATE SYNTHASE2,Terpenoid synthases superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.03G130300.1,AT4G36810,1.56e-36,134,ATGGPPS11; ATGGPS11; ATLSU; GERANYL(GERANYL)DIPHOSPHATE SYNTHASE 11; GERANYLGERANYL PYROPHOSPHATE SYNTHASE 1; GGPPS11; GGPS1; IDS11; ISOPRENYL DIPHOSPHATE SYNTHASE11; LARGE SUBUNIT OF HETERODIMERIC GERANYL(GERANYL)DIPHOSPHATE SYNTHASE; LSU,"Encodes a protein with geranylgeranyl pyrophosphate synthase activity involved in isoprenoid biosynthesis. The enzyme appears to be targeted to the chloroplast in epidermal cells and guard cells of leaves, and in etioplasts in roots. The mRNA is cell-to-cell mobile.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.03G131100.1,AT5G55040,0,630,BRD13; BROMODOMAIN-CONTAINING PROTEIN 13,"DNA-binding bromodomain-containing protein,  interacts with core SWI/SNF complex components.Identified as a specific subunit of BRM-associated SWI/SNF (BAS) complexes (PMID:36471048).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.03G134302.1,AT1G31220,1.53e-116,337,"",N10-formyltetrahydrofolate-dependent phosphoribosylglycinamide formyltransferase that catalyzes the conversion of phosphoribosyl glycineamide to phosphoribosyl N-formylglycineamide,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
